PCA1,PCA2,PCA3,PCA4,Cluster
2.32202284596252,-0.3920559669991685,-0.23951688130505805,-0.0478965002491306,1
-0.8937332316580672,0.393293429197099,0.2865441953252183,-0.03683046196412708,0
-0.16919559688552746,-0.2655274531675476,0.26150385929359005,-0.015299936753019308,0
-0.7250052893137771,-0.08227926072175187,-0.10447028270713112,0.0021144827467830464,0
2.1632200766973058,-0.3266101839828129,-0.19735494798684633,-0.028571242330733576,1
-0.556277346969487,0.013707887702236366,-0.13892749724638032,0.10550048445820394,0
1.1111517303152618,-0.38332986259698776,-0.23523648198341218,-0.013160140494296637,1
1.3890565765293867,-0.1477250437381075,-0.12608629928144272,-0.023999864031118257,1
1.2104034611060206,-0.3440623927871744,-0.1881520894453077,-0.026069191766717934,1
-0.6853045969974735,-0.14336199153701712,0.10098888473187023,-0.03298652016955583,0
-0.5860528662067147,0.17077776694148986,0.3400491868457916,-0.031969338047663866,0
-0.8937332316580672,-0.31788407958063214,-0.18643992971664938,0.002012166957286886,0
-0.8341821931836119,0.6943440310723348,0.10270104446052858,0.005674209871156073,0
-0.39747457770427286,0.1620516625393091,0.00981637918081338,-0.030582201933268004,0
1.9349410958785604,-0.35715154939044547,-0.22004106439156937,-0.03206334322085971,1
-0.8838080585789913,0.7946942316974135,0.23389528366897422,-0.02779554410775773,0
0.17818546088212855,-0.3004318707762706,-0.15219673514348248,-0.03912279857106062,0
-0.8341821931836119,-0.02992263430866738,0.08279718761487533,-0.0418927651452926,0
1.9746417881948641,-0.3004318707762706,-0.20249142717282134,0.15429757931166976,1
-0.8738828854999153,-0.3527884971893551,-0.20249142717282134,-0.03299470539899329,0
-0.4073997507833487,0.32348459397965296,0.2638580789204953,-0.03579170114144711,0
-0.46695078925780403,-0.12590978273265563,-0.11303108135042285,-0.028342822350537724,0
-0.19897111612275512,-0.17390335694464976,-0.06958502823571736,-0.0343652141312041,0
2.1731452497763817,-0.339699340586084,-0.19735494798684633,-0.023459330718101853,1
-0.6654542508393217,-0.25680134876536687,-0.1663220529049138,-0.02595983731948823,0
-0.8838080585789913,-0.3222471317817225,-0.20163534730849217,-0.009231555175008887,0
2.2128459420926854,-0.06482705191739038,-0.03748203332337339,-0.0363142791074925,1
0.37668892246364627,0.5547263606374429,0.30173961291706114,-0.03439214244353939,0
-0.09971938533199626,-0.22189693115664386,-0.15262477507564706,-0.035451415028758475,0
-0.6952297700765494,0.057338409713140116,0.0014696005036039502,-0.031704924830615,0
-0.8639577124208395,-0.0037443211021251327,-0.07193924786262257,-0.023454402875889506,0
0.92257344181282,0.03552314870768824,0.08771964683476806,-0.033728756774944496,1
-0.6257535585230182,-0.269890505368638,-0.2136204654091006,-0.0028070725289697507,0
2.4411249229114307,-0.35715154939044547,-0.16375381331192632,-0.038575979488697495,1
-0.7547808085510047,0.03552314870768824,0.07338030910725442,-0.035908144271777076,0
-0.11956973149014803,-0.26116440096645727,-0.1639678332780086,-0.02749708143084367,0
-0.6952297700765494,0.004981783300055617,-0.17680903124294617,-0.038398163866157776,0
-0.19897111612275512,-0.12154673053156526,-0.0648765889819069,-0.039343922099464114,0
-0.2783725007553622,-0.2829796619719091,-0.06423452908366002,-0.03181676859756783,0
-0.7547808085510047,0.2929432285720204,0.21270730702682722,-0.027753650775338246,0
-0.556277346969487,0.148962505936038,0.0307903358568781,-0.031144026879245196,0
-0.45702561617872817,-0.02992263430866738,0.05882695141365849,-0.04132380228091644,0
0.2675120185938115,-0.14336199153701712,0.01259863873988319,-0.040483021015776034,0
2.0937438651437748,-0.37896681039589736,-0.23716266167815284,0.011710679151418652,1
2.2922473267252923,-0.3527884971893551,-0.2193990044933225,-0.032367525481058215,1
-0.4173249238624246,-0.37460375819480696,-0.21918498452724022,0.006329475455535737,0
0.5652672109660881,-0.165177252542469,-0.05610177037253289,-0.030619667965316566,1
-0.6952297700765494,0.07042756631641124,0.14764523733781013,-0.03552496986235894,0
-0.4173249238624246,-0.06482705191739038,0.06353539066746894,-0.03252969628841,0
-0.5860528662067147,0.0922428273218631,0.05989705124406996,-0.033490455047400024,0
-0.1294949045692239,0.09660587952295349,0.9467957906890924,-0.03074103889387993,0
2.073893518985623,-0.27861660977081876,-0.1947867083938588,-0.011467426694355442,1
-0.16919559688552746,-0.13463588713483637,-0.062094329422837095,-0.036349192612526025,0
-0.24859698151813456,-0.22625998335773426,-0.1791632508698514,-0.01880178065110209,0
1.2401789803432484,-0.3222471317817225,-0.17531089148037013,0.004052812353431424,1
